GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0031150	1189.25954357395	1.18524288677622	0.100784819819555	11.7601330130696	6.2635541290952e-32	1.67882824266405e-29	chrX	21053962	21082391	+	protein_coding	bves
FBgn0033913	7588.20927372125	-1.12609113588004	0.0971627305277886	-11.5897436163342	4.64520909741958e-31	1.20733207359296e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0264437	197.836508947753	2.14543958312957	0.185437290295709	11.569623238715	5.87400420775715e-31	1.48180394382156e-28	chr2L	8590369	8594489	-	lincRNA	CR43855
FBgn0040827	316.742381220904	-1.72262562991385	0.14997551166588	-11.4860460269779	1.55047382252072e-30	3.79954685021721e-28	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037290	101.937192923362	2.28148408217117	0.199476256756897	11.4373716414362	2.72001281417278e-30	6.48043052976664e-28	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	202.183710806775	-1.91129823487833	0.167996119274483	-11.3770380121431	5.44166682799285e-30	1.26143719955932e-27	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0031912	1975.09179774423	-1.0926748762485	0.0981226539501909	-11.1358063837446	8.39814677883221e-29	1.89555012952747e-26	chr2L	7426865	7430329	+	protein_coding	CG5261
FBgn0003748	1600.65215151542	1.04120237390836	0.0954993485937753	10.9027170262419	1.11866078972919e-27	2.46019322910443e-25	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	866.042882593671	1.34915440233848	0.123826605997103	10.8955130561363	1.21082195033195e-27	2.59630496699929e-25	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0035147	28915.9028793075	-1.11819743644517	0.104821958919923	-10.6675876692917	1.44324694081904e-26	2.94731643128688e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0261362	8573.81484277382	1.37429591157414	0.129070248391403	10.6476583775265	1.78806256390688e-26	3.56656107223938e-24	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0024315	135.234124462537	-1.90966800425803	0.180302360242933	-10.5914753510992	3.26406283325312e-26	6.36269702745727e-24	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0261596	24584.3057035696	-1.04695774104127	0.0989413848468275	-10.5815957868599	3.62727003739441e-26	6.91357669127375e-24	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0032405	116.002919219642	1.94491335747456	0.185504228873217	10.4844691104256	1.01815855930572e-25	1.8984230354707e-23	chr2L	12063456	12066775	-	protein_coding	CG14946
FBgn0039109	663.673672415969	-1.2400893359852	0.118444336999615	-10.4698068932517	1.18885276001661e-25	2.16952981333244e-23	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0260011	131.7733475217	1.89651489796762	0.181972321457302	10.4219965035321	1.96778408240008e-25	3.51618418223864e-23	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0261584	263.563999356437	-1.76386405816468	0.173393167717946	-10.1726272227399	2.62724985448004e-24	4.50678440037506e-22	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0053307	1496.22318613873	-1.30646106964996	0.130526938581127	-10.0091297922992	1.3896951297031e-23	2.33714022107128e-21	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0063649	839.904531248908	-1.14800828298194	0.114904396327435	-9.99098659124006	1.66912105591269e-23	2.7530867878006e-21	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0001137	667.625236905826	-1.27381945998893	0.12767152743586	-9.97731824449954	1.91574552079654e-23	3.10025459091923e-21	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	1168.7467051574	-1.57781647031549	0.158318551322291	-9.96608708920987	2.14514104246494e-23	3.40719902244848e-21	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0038149	1500.13264166384	1.01091145056651	0.10207737587475	9.90338399575343	4.0242301139799e-23	6.27560394320102e-21	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0031322	580.287432493937	-1.32754157509857	0.134839006704385	-9.84538233813169	7.17658353801917e-23	1.07988696501036e-20	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0001225	607.720282537841	1.22164288184987	0.125002599241318	9.77293983696683	1.47119888882939e-22	2.17559877060168e-20	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0002868	158.212301712193	-1.71122719814374	0.175735407359025	-9.73752087789412	2.08580721464011e-22	3.03219804745224e-20	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0039464	1233.51291620627	1.00615143117802	0.103512300879609	9.72011463978789	2.47502684935056e-22	3.53805088114663e-20	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0265276	224.663354981489	1.58372316304	0.163621021103805	9.6792157410829	3.69539773389292e-22	5.19597153501633e-20	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0000406	390.717673301672	-1.7076919771807	0.177818577417153	-9.60356337332819	7.72273363394622e-22	1.06835300610253e-19	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0030041	123.444757780033	-1.97687192621909	0.20861388688159	-9.47622402213887	2.63651254396345e-21	3.58942350628166e-19	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0033367	22435.8857439276	1.2642570865795	0.136222372784212	9.28083295526051	1.68158755420434e-20	2.21891945421702e-18	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0036985	2821.01714978609	-1.21294630636081	0.132998861687045	-9.11997509583917	7.51415949295257e-20	9.61924566732152e-18	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0039257	841.703273747529	-1.01387327034544	0.1116750582288	-9.07877986746346	1.09798754056939e-19	1.38491751992112e-17	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0039479	253.814343944181	1.31825102805745	0.145754091626356	9.04435006488062	1.5055812993695e-19	1.87150301517278e-17	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0063498	486.275387655391	-1.25089574962444	0.138577334576186	-9.02669800548611	1.76929849717638e-19	2.16789617289741e-17	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0037153	194.581109820095	1.47261649026585	0.163787211702199	8.99103461717996	2.44913892767141e-19	2.95862881445601e-17	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0051642	156.188390840951	1.60375792699325	0.1792154388698	8.94877102724604	3.59461925439171e-19	4.28209018679413e-17	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0263232	437.725089776099	1.1865064306806	0.134266950097858	8.83692099817443	9.8392666043409e-19	1.12521852887243e-16	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0032004	1440.4614931961	-1.08846557100637	0.123891465121389	-8.78563805779431	1.55479463878383e-18	1.75466758116433e-16	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0031327	1120.97146634239	1.10350281361813	0.126261659159597	8.73980922603973	2.33504398952005e-18	2.56765029462993e-16	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0034389	170.98243656895	-1.60944595815091	0.185048550288142	-8.69742538185151	3.3949883784536e-18	3.63985191524956e-16	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0033635	3795.15809254957	1.07611562181731	0.125561287662139	8.57044111169781	1.03089391102081e-17	1.07828988717384e-15	chr2R	11436242	11442216	+	protein_coding	CG7777
FBgn0034885	239.473728528039	1.36090679648312	0.159278426706317	8.5442003956531	1.29429279943951e-17	1.30601756950502e-15	chr2R	23607591	23614710	-	protein_coding	CG4019
FBgn0032598	472.928539647033	1.02358378780755	0.123126408596835	8.31327575840505	9.30958480981423e-17	8.97172010267153e-15	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0000116	957.325638200019	1.08050078467817	0.132651403416694	8.14541540343925	3.77982025141321e-16	3.60216869959679e-14	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0261284	76.284719413893	1.67303522300292	0.206693728173737	8.09427183778232	5.76079116006856e-16	5.37068541085957e-14	chrX	6986485	6987188	+	protein_coding	bou
FBgn0023549	266.291250446855	-1.30846264166601	0.163171656422407	-8.01893337577426	1.06667339480681e-15	9.83748140565376e-14	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0034438	108.799017371315	1.45443698741538	0.18755804192399	7.75459677705957	8.86246174184866e-15	7.8364262226635e-13	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0031703	131.451280028389	-1.48939296368572	0.192463635405541	-7.73856817443674	1.00542633590525e-14	8.79953232965234e-13	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0052625	223.149384687079	1.32005295648209	0.171522773820238	7.6960798095858	1.40304195815467e-14	1.21554453283764e-12	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038198	92.4167183825659	1.63152952429056	0.212437332256524	7.68005089764751	1.59025393743338e-14	1.35045623973922e-12	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0050463	64.9163364713626	1.65857030171625	0.216007224914524	7.67830938234847	1.61201797727825e-14	1.35551746971721e-12	chr2R	16673234	16732916	-	protein_coding	CG30463
FBgn0000567	378.817044431818	-1.11951757570923	0.146073529380339	-7.66406877726825	1.80133351599361e-14	1.50000364725022e-12	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0037646	60.0029670852898	-1.69205025465072	0.22135501493974	-7.64405656276346	2.10482871651558e-14	1.71934437157659e-12	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0038528	230.918983839902	1.20404346792506	0.158130681684106	7.61423055350102	2.65266932318829e-14	2.14373400795754e-12	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0033065	44.6514607786079	1.73212253755495	0.228362877237937	7.58495670796003	3.32598099046179e-14	2.61359740791896e-12	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0024984	175.211555069473	1.21628653056095	0.163447145881326	7.44146692805547	9.957331394612e-14	7.29948986081941e-12	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0034718	715.336394752894	1.17897982093384	0.15926145575724	7.4027944509746	1.33348078437236e-13	9.69259719284889e-12	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0043364	1691.88322062996	-1.02576899048808	0.139369716350262	-7.36005652698707	1.83832366651411e-13	1.30308281716459e-11	chr2L	476445	479688	-	protein_coding	cbt
FBgn0004396	3535.47792517561	1.00077247544382	0.137583212520027	7.27394321671433	3.49142795761617e-13	2.35795099153338e-11	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0035344	114.250751414324	-1.31358060401939	0.184603463774872	-7.11568774040627	1.11356152015655e-12	7.02280673410497e-11	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0267635	260.399719794338	1.07570639318675	0.152884030200242	7.0360939058045	1.97703722399122e-12	1.21121773358377e-10	chr3L	20404269	20407558	+	lincRNA	CR45973
FBgn0031547	388.817530628485	-1.19640519776528	0.171060265596019	-6.99405670625311	2.67049537580679e-12	1.60908959942043e-10	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0032638	187.693662653249	-1.21180217717782	0.174260984170848	-6.95395003616958	3.55197453234051e-12	2.08666339478662e-10	chr2L	17454262	17455923	-	protein_coding	SPH93
FBgn0033775	68.2280184210986	1.44850682501343	0.208552559222179	6.9455240943377	3.77057862544809e-12	2.18456025237148e-10	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0033782	232.610601304925	-1.16115729887222	0.168021364831169	-6.91077173452894	4.82024148943257e-12	2.70217067025249e-10	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0039640	107.433794690023	-1.33919648221267	0.194197070483074	-6.89606943545214	5.34610723279671e-12	2.95829430552886e-10	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0267252	158.761822995154	-1.15948773859398	0.169175681196542	-6.85374948924797	7.19390158728402e-12	3.95526243039327e-10	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0031258	214.375233367863	-1.12829105420611	0.165341579069789	-6.82400071750778	8.85394391596773e-12	4.77611804825504e-10	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0030598	55.962610051466	1.49070263738637	0.218880671550051	6.81057229416209	9.72112460985384e-12	5.21113036116977e-10	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0035727	100.156222319451	1.29377093912877	0.19024611544503	6.80051172715059	1.04248184391108e-11	5.41901016680322e-10	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0033724	225.413467052635	1.17841778913826	0.174784247541699	6.74212811344522	1.56083357547155e-11	7.96861284334491e-10	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0263041	161.688908188167	-1.26263200786381	0.196742250833456	-6.41769626257169	1.38351939139443e-10	6.02357655837057e-09	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0020248	52.4733609427989	1.35067246120377	0.217029705027711	6.22344513176806	4.86354953898966e-10	1.95843494816499e-08	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0031548	79.9281559638276	-1.30435734307039	0.213233993552682	-6.11702346956296	9.53393297878381e-10	3.73390608032095e-08	chr2L	3525130	3527588	+	protein_coding	CG8852
FBgn0034391	97.2436869884519	1.18679785538299	0.196558698140029	6.03788011730477	1.56152002151326e-09	5.90081641661332e-08	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0000079	236.498989025006	-1.02473305109403	0.170172916980613	-6.02171643570507	1.72577050221004e-09	6.49207613923488e-08	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0003447	54.9655601749589	1.2958552615791	0.220322963616682	5.88161687872733	4.06277896567676e-09	1.45801067734768e-07	chrX	7964023	7986601	+	protein_coding	sn
FBgn0039593	63.8120696049177	1.27648738897438	0.217457376857544	5.87005788178252	4.35643018847619e-09	1.54401246803968e-07	chr3R	28670703	28672021	+	protein_coding	CG9989
FBgn0265512	100.676629581873	-1.27172228615936	0.221932811046189	-5.73021303233383	1.0030458332398e-08	3.41393813956262e-07	chr2R	10155915	10158931	-	protein_coding	mlt
FBgn0030326	208.729032298503	-1.00807341181175	0.176278347919732	-5.71864567434436	1.0737643861489e-08	3.62585714173192e-07	chrX	11704309	11705300	-	protein_coding	CG2444
FBgn0039485	86.6891794029857	1.09654815902492	0.195853611240066	5.59881511544269	2.15821814756896e-08	7.17482056267403e-07	chr3R	27101405	27102917	+	protein_coding	CG17189
FBgn0025836	128.465533359649	-1.04880364196741	0.189859581547944	-5.52410172516135	3.31175554507968e-08	1.07188404943956e-06	chrX	127448	140340	+	protein_coding	RhoGAP1A
FBgn0033368	96.3515926874842	1.03474382616238	0.19867131207981	5.20832029209486	1.90557784087633e-07	5.5030778253186e-06	chr2R	9044849	9060608	-	protein_coding	CG13743
FBgn0037223	37.0078320042312	-1.16170583149628	0.229739301952115	-5.05662645278872	4.26737947999895e-07	1.19222520521013e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0010223	81.723829756862	-1.00079079262955	0.198606466419854	-5.03906449105176	4.67812843717435e-07	1.28603550018091e-05	chr3L	16662556	16667934	-	protein_coding	Galphaf
FBgn0063667	19.1507594687134	1.14107023828294	0.230914954173108	4.94151728877431	7.75169411976999e-07	2.03945645598979e-05	chr3L	1201870	1203036	-	protein_coding	CG32335
FBgn0002609	62.3327742779074	-1.05672230068491	0.214592912028466	-4.92431129572784	8.46579779316287e-07	2.20033780824115e-05	chr3R	26021822	26023127	+	protein_coding	E(spl)m3-HLH
FBgn0037678	50.8593837148193	1.1123578835435	0.22644428003961	4.91228077542487	9.00230123240212e-07	2.32568486958774e-05	chr3R	9330884	9331885	-	protein_coding	CG16749
FBgn0250904	41.4422426564039	1.08291129994774	0.223765000206629	4.83950259847501	1.30164489665457e-06	3.21735108893551e-05	chrX	5614553	5616370	-	protein_coding	CG34434
FBgn0264343	57.1566285386695	1.03605500222518	0.216472062308587	4.78609106032471	1.70060922244482e-06	4.15559125382029e-05	chr2L	7227733	7228641	+	protein_coding	CG43799
FBgn0038237	43.4095878061772	-1.10589273388949	0.232871223840975	-4.74894542850297	2.04480104639276e-06	4.89895490919294e-05	chr3R	14513900	14558304	-	protein_coding	Pde6
FBgn0020376	61.5415395908162	-1.03815793730211	0.219866671035179	-4.72176129476215	2.33810999788228e-06	5.50933226698801e-05	chr2L	4120342	4121627	+	protein_coding	Sr-CIII
FBgn0028939	31.5876850119852	-1.09102384088358	0.232323714230896	-4.69613635652905	2.65128587747574e-06	6.17936928562755e-05	chr2L	13980125	13983269	+	protein_coding	NimC2
FBgn0036560	27.7142410668605	1.08900005167935	0.232752699474326	4.67878591371386	2.88578558248519e-06	6.67153179002035e-05	chr3L	16035484	16037227	+	protein_coding	CG5895
FBgn0035710	26.1617709383304	1.04897857216091	0.232922120824841	4.50355925167687	6.68247251558799e-06	0.000143648037008015	chr3L	6689326	6703521	-	protein_coding	SP1173
FBgn0035523	70.9981974167003	1.00481923314474	0.223762541380939	4.49056051537293	7.10359885712539e-06	0.000152318918493911	chr3L	4277961	4281585	+	protein_coding	CG1311
FBgn0038261	44.270576613608	1.00626360703524	0.224124350457111	4.48975582074382	7.13048650835104e-06	0.000152514171526501	chr3R	14798985	14801163	+	protein_coding	CG14856
FBgn0039178	23.5500555752701	1.04091740643919	0.232626408824142	4.47463128412944	7.6543284473031e-06	0.000162906141668781	chr3R	24283954	24288617	+	protein_coding	CG6356
FBgn0034636	24.7705189916857	-1.02853091672925	0.232167815056525	-4.43011843169924	9.41813512417699e-06	0.000195119190724797	chr2R	21560245	21576035	-	protein_coding	CG10440
